macula_lemma	abbott_lemma	abbott_xml_id	strongs	matched
Αἰγύπτιος				False
Αἰθίοψ				False
Αἰνέας				False
Αἰνών				False
Αἴγυπτος				False
Αὐγοῦστος				False
Βάαλ				False
Βέροια				False
Βαβυλών				False
Βαλάκ				False
Βαλαάμ				False
Βαράκ				False
Βαραββᾶς				False
Βαραχίας				False
Βαρθολομαῖος				False
Βαριησοῦς				False
Βαριωνᾶ				False
Βαρναβᾶς				False
Βαρσαββᾶς				False
Βαρτιμαῖος				False
Βεελζεβούλ				False
Βελιάρ				False
Βενιαμίν				False
Βερνίκη				False
Βεροιαῖος				False
Βηθανία				False
Βηθεσδά				False
Βηθλέεμ				False
Βηθσαϊδά				False
Βηθσαϊδάν				False
Βηθφαγή				False
Βιθυνία				False
Βλάστος				False
Βοανηργές				False
Βοσόρ				False
Βόες				False
Βόος				False
Γάδ				False
Γάϊος				False
Γαββαθα				False
Γαβριήλ				False
Γαδαρηνός				False
Γαλάτης				False
Γαλατία				False
Γαλατικός				False
Γαλιλαία				False
Γαλιλαῖος				False
Γαλλίων				False
Γαμαλιήλ				False
Γεδεών				False
Γεθσημανί				False
Γεννησαρέτ				False
Γερασηνός				False
Γολγοθᾶ				False
Γόμορρα				False
Γώγ				False
Δάμαρις				False
Δέρβη				False
Δίδυμος				False
Δαλμανουθά				False
Δαλματία				False
Δαμασκηνός				False
Δαμασκός				False
Δανιήλ				False
Δαυίδ				False
Δεκάπολις				False
Δερβαῖος				False
Δημήτριος				False
Δημᾶς				False
Διάβολος				False
Διονύσιος				False
Διοτρέφης				False
Διόσκουροι				False
Δορκάς				False
Δρούσιλλα				False
Εὐνίκη				False
Εὐοδία				False
Εὐφράτης				False
Εὔβουλος				False
Εὔτυχος				False
Εὕα				False
Ζάρα				False
Ζαβουλών				False
Ζακχαῖος				False
Ζαχαρίας				False
Ζεβεδαῖος				False
Ζεύς				False
Ζηλωτής				False
Ζηνᾶς				False
Ζοροβαβέλ				False
Θάλασσα				False
Θάρα				False
Θαδδαῖος				False
Θαμάρ				False
Θεσσαλονίκη				False
Θεσσαλονικεύς				False
Θευδᾶς				False
Θεόφιλος				False
Θυάτειρα				False
Θωμᾶς				False
Κάρπος				False
Κάϊν				False
Κίς				False
Καισάρεια				False
Καλός				False
Κανά				False
Καναναῖος				False
Κανδάκη				False
Καππαδοκία				False
Καφαρναούμ				False
Καϊάφας				False
Καϊνάμ				False
Καῖσαρ				False
Καῦδα				False
Κεγχρεαί				False
Κεδρών				False
Κηφᾶς				False
Κιλικία				False
Κλήμης				False
Κλαυδία				False
Κλαύδιος				False
Κλεοπᾶς				False
Κλωπᾶς				False
Κνίδος				False
Κολοσσαί				False
Κορίνθιος				False
Κορβᾶν				False
Κορνήλιος				False
Κούαρτος				False
Κρής				False
Κρήσκης				False
Κρήτη				False
Κρίσπος				False
Κυρήνη				False
Κυρήνιος				False
Κυρηναῖος				False
Κωσάμ				False
Κόρε				False
Κόρινθος				False
Κύπριος				False
Κύπρος				False
Κώς				False
Λάζαρος				False
Λάμεχ				False
Λίνος				False
Λαοδίκεια				False
Λαοδικεύς				False
Λασαία				False
Λευί				False
Λευίς				False
Λευίτης				False
Λευιτικός				False
Λιβερτῖνος				False
Λιβύη				False
Λιμήν				False
Λουκᾶς				False
Λούκιος				False
Λυδία				False
Λυκία				False
Λυκαονία				False
Λυκαονιστί				False
Λυσίας				False
Λυσανίας				False
Λωΐς				False
Λύδδα				False
Λύστρα				False
Λώτ				False
Μάαθ				False
Μάλχος				False
Μάρθα				False
Μίλητος				False
Μαγαδάν				False
Μαγδαληνή				False
Μαγώγ				False
Μαδιάμ				False
Μαθθάτ				False
Μαθθίας				False
Μαθθαῖος				False
Μαθουσαλά				False
Μακεδονία				False
Μακεδών				False
Μαλελεήλ				False
Μαναήν				False
Μανασσῆς				False
Μαρία				False
Μαριάμ				False
Ματθάν				False
Ματταθά				False
Ματταθίας				False
Μελίτη				False
Μελεά				False
Μελχί				False
Μελχισέδεκ				False
Μεννά				False
Μεσοποταμία				False
Μεσσίας				False
Μιτυλήνη				False
Μιχαήλ				False
Μνάσων				False
Μολόχ				False
Μυσία				False
Μωϋσῆς				False
Μύρα				False
Μᾶρκος				False
Μῆδος				False
Νάρκισσος				False
Νέα				False
Νίγερ				False
Ναΐν				False
Ναασσών				False
Ναγγαί				False
Ναζαρά				False
Ναζαρέθ				False
Ναζαρέτ				False
Ναζαρηνός				False
Ναζωραῖος				False
Ναθάμ				False
Ναθαναήλ				False
Ναιμάν				False
Ναούμ				False
Ναχώρ				False
Νεφθαλίμ				False
Νηρί				False
Νηρεύς				False
Νικάνωρ				False
Νικολαΐτης				False
Νικόδημος				False
Νικόλαος				False
Νικόπολις				False
Νινευίτης				False
Νύμφας				False
Νῶε				False
Οὐρίας				False
Οὐρβανός				False
Πάγος				False
Πάρθος				False
Πάταρα				False
Πάτμος				False
Πάφος				False
Πέργαμος				False
Πέργη				False
Πέτρος				False
Παμφυλία				False
Παρμενᾶς				False
Πατροβᾶς				False
Παῦλος				False
Περσίς				False
Πιλᾶτος				False
Πισιδία				False
Ποντικός				False
Ποτίολοι				False
Πούδης				False
Πρίσκα				False
Πρίσκιλλα				False
Πρόχορος				False
Πτολεμαΐς				False
Πόλις				False
Πόντιος				False
Πόντος				False
Πόπλιος				False
Πόρκιος				False
Πύρρος				False
Σάμος				False
Σάπφιρα				False
Σάρδεις				False
Σάρεπτα				False
Σάρρα				False
Σέργιος				False
Σήθ				False
Σήμ				False
Σίλας				False
Σίμων				False
Σαβαώθ				False
Σαδδουκαῖος				False
Σαδώκ				False
Σαλά				False
Σαλήμ				False
Σαλαθιήλ				False
Σαλαμίς				False
Σαλείμ				False
Σαλμών				False
Σαλμώνη				False
Σαλώμη				False
Σαμάρεια				False
Σαμαρίτης				False
Σαμαρῖτις				False
Σαμοθρᾴκη				False
Σαμουήλ				False
Σαμψών				False
Σαούλ				False
Σαρών				False
Σατανᾶς				False
Σαῦλος				False
Σεβαστός				False
Σεκοῦνδος				False
Σελεύκεια				False
Σεμεΐν				False
Σερούχ				False
Σιδών				False
Σιδώνιος				False
Σιλουανός				False
Σιλωάμ				False
Σιλᾶς				False
Σινᾶ				False
Σιών				False
Σκευᾶς				False
Σκύθης				False
Σμύρνα				False
Σολομών				False
Σολομῶν				False
Σουσάννα				False
Σπανία				False
Στάχυς				False
Στέφανος				False
Στεφανᾶς				False
Στοά				False
Στοϊκός				False
Συμεών				False
Συντύχη				False
Συράκουσαι				False
Συρία				False
Συροφοινίκισσα				False
Συχάρ				False
Συχέμ				False
Σωσίπατρος				False
Σωσθένης				False
Σόδομα				False
Σύρος				False
Σύρτις				False
Σώπατρος				False
Τέρτιος				False
Τέρτυλλος				False
Τίμων				False
Τίτιος				False
Τίτος				False
Ταβέρνη				False
Ταβιθά				False
Ταρσεύς				False
Ταρσός				False
Τιβέριος				False
Τιβεριάς				False
Τιμαῖος				False
Τιμόθεος				False
Τραχωνῖτις				False
Τρεῖς				False
Τρυφῶσα				False
Τρόφιμος				False
Τρύφαινα				False
Τρῳάς				False
Τυχικός				False
Τύραννος				False
Τύριος				False
Τύρος				False
Φάλεκ				False
Φίλητος				False
Φίλιπποι				False
Φίλιππος				False
Φανουήλ				False
Φαρές				False
Φαραώ				False
Φαρισαῖος				False
Φιλήμων				False
Φιλαδέλφεια				False
Φιλιππήσιος				False
Φιλόλογος				False
Φλέγων				False
Φοίβη				False
Φοινίκη				False
Φορτουνᾶτος				False
Φοῖνιξ				False
Φρυγία				False
Φόρον				False
Φύγελος				False
